title,box_off_num
용서는 없다,637666.8070267411
아빠가 여자를 좋아해,798590.8441114197
하모니,517752.0255576508
의형제,1434538.2212877532
평행 이론,1007648.8831655331
회오리 바람,72.29021109791906
경계도시 2,2420.5715978969934
이웃집 남자,29.049528311403428
아마존의 눈물 극장판,2165.8549858616634
반가운 살인자,91.6420368453613
집 나온 남자들,150991.32552081806
베스트셀러,381555.28756834596
작은 연못,100.16768409656639
경,1903.025281947445
대한민국 1%,486649.8854806665
포화 속으로,2057046.252192726
나쁜 놈이 더 잘 잔다,3471.3738093166594
맨발의 꿈,1356582.2632040698
요술,142641.3310785294
마법천자문: 대마왕의 부활을 막아라,215154.58435279987
인플루언스,34.93078608899206
미스터 좀비,1692.3164741728376
김복남 살인사건의 전말,6649.413332524496
엄지아빠,77.65342824280073
탈주,47.9393726644176
해결사,850992.0374045554
할,1345.4248671214368
된장,886160.5326519384
조금만 더 가까이,7406.885270805262
우리 만난 적 있나요,50.05203445414899
쩨쩨한 로맨스,816715.9886987265
용서,103770.69595749649
브라보! 재즈 라이프,3185.1414143675174
카페 느와르,5024.828940411684
오래된 인력거,3385.416210059034
창피해,1619.3203877427609
"양 한 마리, 양 두 마리",1353.1779940168442
하얀 정글,2380.2248908446727
다슬이,2644.1200385332454
REC 알이씨,22.24719758614383
량강도 아이들,71.80607683936302
티끌모아 로맨스,57275.54555055529
더 킥,731733.2418373743
커플즈,222684.49372991503
오늘,369549.9816995177
완득이,864217.1815436664
은어,46.298057242051314
고래를 찾는 자전거,67.2620110944885
도가니,237314.31844460018
겨울냄새,256.0132386335175
환타스틱 모던가야그머,1106.001745274024
블라인드,1303178.874618482
링크,3852.352883964083
퀵,1139270.2271434595
모비딕,1443531.1311986817
굿바이 보이,157.177035683085
종로의 기적,5680.30787811631
회초리,698244.1930686298
체포왕,980229.9426704777
세상에서 가장 아름다운 이별,1465187.2132510492
나는 아빠다,473020.3131829507
수상한 고객들,1640310.7445706716
수상한 이웃들,4783.326830883381
돌아오는 길,363.6081247921437
우리 이웃의 범죄,6439.450055622602
엄마는 창녀다,40.03120935226869
위험한 상견례,608372.0994819426
간증,3790.0579166279904
